C1,C2,C3,C4,C5,C6
Identify traits of effective nursing leaders.,Describe how leadership influences patient outcomes.,Apply leadership principles in a simulated care scenario.,Explore & analyse impact of nursing leadership on patient safety,Evaluate leadership models in terms of patient-safety outcomes.,Design a leadership training program for nursing staff.
Recall major translation theories.,Explain what reflective practice means in translation.,Apply reflective techniques to analyse a translation sample.,Critically reflect on own translation practices,Evaluate the strengths and weaknesses of your translation choices.,Create a reflective translation portfolio.
Identify components of relevant economic models.,Explain how floating exchange rates function.,Apply the model to analyse a basic policy scenario.,Use economic model for competitive markets & floating exchange rates,Evaluate policy outcomes using model predictions.,Create a policy proposal based on model-based economic forecasting.
Recall common types of corporate crime.,Explain how corporate crime affects stakeholders.,Apply stakeholder analysis in a corporate-crime case.,Evaluate corporate crime & analyse stakeholder perspectives,Judge the adequacy of corporate responses to crime.,Create a corrective corporate-ethics program.
Identify credible scholarly sources.,Explain characteristics of rigorous academic discussion.,Apply research methods to gather scholarly materials.,"Research, discuss & analyse scholarly issues clearly",Evaluate the strength and coherence of scholarly arguments.,Create a scholarly essay addressing a complex issue.
List examples of social-innovation projects.,Explain how culture influences social innovation.,Apply cultural analysis to a social-innovation scenario.,Critically reflect on social-innovation challenges across cultures,Evaluate the suitability of social-innovation strategies across cultures.,Create a culturally inclusive social-innovation plan.
Recall techniques for language/culture noticing.,Explain why noticing strategies help self-regulated learning.,Apply noticing techniques in a language lesson.,Practise & analyse techniques for noticing language & culture,Evaluate which noticing strategies work best for different learners.,Create a learning activity that develops noticing skills.
Identify commonly used bioinformatic tools.,Explain how alignment and variant-search tools work.,Apply bioinformatic tools to analyse a sample dataset.,Utilise & appraise bioinformatic tools for sequence comparison & analysis,Evaluate the accuracy and relevance of different bioinformatic tools.,Create a bioinformatic pipeline for analysing complex genomic data.
Identify key arguments related to policing and corrections.,Summarise perspectives on traditional vs. alternative justice.,Apply criminological theories to a case study.,"Analyse arguments on policing, sentencing & corrections",Evaluate strengths and weaknesses of different justice approaches.,"Create a reform proposal for policing, sentencing, or corrections."
List common laboratory techniques used in advanced medical microbiology.,"Explain the purpose of culturing, microscopy, and diagnostic methods.",Execute lab experiments in advanced medical microbiology,Analyze potential sources of error in microbiology laboratory procedures.,Evaluate the reliability of different diagnostic methods for pathogen identification.,Design a complete laboratory workflow for identifying an unknown pathogen.
Recall major theoretical perspectives in world politics.,Explain the key ideas behind each theory.,Apply and compare theoretical perspectives in world politics,Analyze differences in how theories interpret a major global issue.,Evaluate which theoretical perspective best explains a real political event.,Develop a new theoretical model integrating insights from several perspectives.
Identify common psychosocial assessment frameworks.,Explain why psychosocial assessment is important in hospital care.,Apply assessment frameworks to psychosocial needs in hospitals,Analyze patient data using multiple psychosocial frameworks.,Evaluate the effectiveness of a chosen psychosocial assessment tool.,Create an improved psychosocial assessment protocol for hospitals.
Define leadership in a clinical context.,Describe key components of clinical leadership.,Demonstrate leadership skills in clinical settings,Analyze communication and delegation patterns in a clinical team.,Evaluate your own leadership performance in a clinical scenario.,Create a leadership development plan for clinical staff.
Identify fundamental concepts used in corporate finance.,Explain how critical thinking and problem-solving support financial decision making.,"Apply critical thinking, problem solving, and presentation skills in corporate finance",Analyze financial scenarios using different problem-solving strategies.,Evaluate the effectiveness of a chosen solution to a finance case problem.,Create a comprehensive financial analysis and present your findings.
Recall basic principles of solid mechanics.,Explain how forces interact within solid structures.,Solve forces on solid structures in chemical engineering,Analyze failure points in a given chemical engineering structure.,Evaluate structural design choices based on stress and load calculations.,Design a solid structure optimized for a specific chemical engineering process.
Identify roles in radio and video journalism.,Explain differences between independent and collaborative media work.,Work independently & collaboratively in radio/video journalism,Analyze workflow challenges in a production team.,Evaluate the effectiveness of a collaborative media production.,Create a short radio or video news segment.
Recall principles of ethical conduct.,Explain why decision-making strategies are necessary for ethical behaviour.,Plan & initiate decision-making strategies for ethical conduct,Analyze an ethical dilemma using multiple decision-making models.,Evaluate different strategies for resolving ethical conflicts.,Create an ethical decision-making guide for professionals.
Identify characteristics of effective teamwork.,Describe stages of group development.,Work in a team to achieve a goal,Analyze team dynamics in the completion of a project.,Evaluate team performance using specific criteria.,Create a strategy to improve teamwork in organizational settings.
Recall key responsibilities of public relations practitioners.,Explain the purpose of common PR tasks.,Execute tasks as a public relations practitioner,Analyze the effectiveness of PR strategies in a case study.,Evaluate the success of a PR campaign.,Create a comprehensive PR plan for a client.
"List main concepts: security interest, attachment, perfection.",Explain the legal meaning of these concepts.,Conduct research into security agreements,Analyze a legal case involving a security agreement.,Evaluate the adequacy of current laws on security interests.,Create a research brief comparing international approaches to security agreements.
Identify features of critical reading.,Explain why critical reading is important for academic work.,Develop critical reading skills,Analyze arguments in a scholarly text.,Evaluate the credibility and logical structure of a text.,Create an annotated critical review of a selected article.
List different teaching approaches and ICT tools.,Explain how ICT can support pedagogical intentions.,Draw on teaching approaches including ICT,Analyze differences between teaching approaches in effectiveness.,Evaluate which teaching approach suits a specific learning context.,Create a lesson plan integrating ICT with pedagogical goals.
Recall key biochemical processes used in industry.,Explain why biochemistry is important in industrial applications.,Relate importance of biochemistry in industry,Analyze how biochemical principles improve industrial processes.,Evaluate the impact of biochemical innovations on industry efficiency.,Create a proposal for incorporating biochemical techniques in a new industrial process.
Identify common probability and statistical concepts.,Explain how probability relates to reliability.,Apply probability & statistics to reliability analysis,Analyze system reliability using multiple statistical methods.,Evaluate the most appropriate statistical technique for a reliability case.,Create a reliability analysis model for a complex system.
List common methodologies in educational/developmental psychology.,Explain differences between qualitative and quantitative methods.,Demonstrate knowledge of psychological research methodologies,Analyze methodological strengths and weaknesses in a study.,Evaluate whether a methodology fits the research question.,Design a psychological study using appropriate methodologies.
Recall major molecular pathways in tissue repair.,Describe how tissue injury triggers repair processes.,Demonstrate molecular mechanisms of tissue injury/repair,Analyze molecular interactions involved in tissue healing.,Evaluate the effectiveness of therapeutic strategies based on these mechanisms.,Develop a hypothetical therapeutic intervention targeting a repair mechanism.
Identify components of holistic wound assessment.,Explain factors contributing to non-healing wounds.,Apply holistic assessment & goal setting for non-healing wounds,Analyze wound progression using holistic assessment frameworks.,Evaluate treatment decisions based on patient goals and wound status.,Create a comprehensive care plan for a patient with a chronic wound.
Recall core concepts in treasury and financial markets.,Explain how critical thinking supports financial-market decisions.,Apply critical thinking in treasury & financial markets,Analyze market scenarios using multiple financial reasoning frameworks.,Evaluate investment or treasury strategies for effectiveness.,Create a trading or treasury strategy based on market analysis.
List basic elements of typography and layout.,Explain how layout principles guide publication design.,"Apply typography, layout & page structure in publication design",Analyze the visual effectiveness of a publication design.,Evaluate different design choices based on readability and aesthetics.,Create a complete publication layout using professional typography principles.
Recall common psychological disorders and examples of interventions.,Explain the purpose of intervention programs for various psychological disorders.,Apply intervention frameworks to select appropriate interventions for case examples.,Analyse effectiveness and cultural suitability of different intervention programs.,"Identify, develop and critique based on evidence quality and cultural responsiveness, intervention programs for anxiety disorders, mood disorders, adjustment disorders, substance-use disorders, disorders of childhood and psychological issues of ageing","Design an evidence-based, culturally responsive intervention program for a specific disorder."
List key nutritional needs across different life stages.,"Describe how nutrition, growth, development and behaviour change across the lifespan.",Apply evidence-based guidelines to assess nutritional needs in real cases.,Analyse factors that influence nutritional differences across the lifespan.,"Evaluate varying nutritional needs, growth and development and human behaviour across the lifespan consistent with best available evidence.",Create a lifespan-based nutrition and development guideline for a target population.
Identify different abstract data types (ADTs).,Explain the characteristics and purposes of common ADTs.,Implement ADTs in solving computational tasks.,"Analyse similarities, differences, and performance trade-offs between ADTs.",Compare and contrast various abstract data types and use them appropriately,Design an optimized data structure tailored for a specific computational problem.
Recall basic econometric concepts and output components.,"Explain what common econometric outputs (coefficients, p-values, R²) mean.",Apply interpretation guidelines to understand typical regression outputs.,"Analyse econometric findings with respect to context, assumptions, and limitations.",Interpret the results of econometric analysis of data in context,Construct an original econometric model and interpret results for policy recommendations.
Recall major injury models used in OHS systems.,Explain the foundational theories behind common injury models.,Apply injury models to assess sample workplace scenarios.,Analyse strengths and limitations of different injury models.,Describe and evaluate theoretical underpinnings of injury models within OHSMS,Develop a new or improved injury model for OHS applications.
Recall common forensic tools and techniques.,Explain how forensic techniques work in media-based and network-based investigations.,Conduct forensic procedures following standard practice.,Analyse the effectiveness and limitations of various forensic techniques.,Apply and evaluate forensic techniques in local media-based and network-based environments,Develop a new forensic workflow for a specialized digital investigation scenario.
"Recall basic concepts of loads, shear stress, and torsion.",Explain load paths and how shear stress develops in structures.,Perform calculations for shear stress and torsional strain.,Analyse how structural geometry influences stress and load paths.,"Apply the concept of loads and load paths, calculate shear stresses in thin-walled sections and predict stress and strains in torsional loading",Design a structural member optimized for torsional performance.
Recall key components of sustainability impact assessments.,Explain how sustainability impact assessment frameworks operate.,Use a sustainability framework to assess a provided case.,Analyse sustainability assessment results to identify critical issues.,Apply a sustainability impact assessment framework within an organisation and evaluate the findings,Develop a new sustainability assessment framework tailored to an organisation.
Identify common types of data visualisations.,Explain which visualisations suit certain data types.,Create visualisations using tools or software.,"Analyse clarity, accuracy, and suitability of visualisations.","Select, create and interpret appropriate types of visual representation for a data set",Design a novel data visualisation technique for complex datasets.
Recall key components of Indigenous and mainstream psychologies.,Explain differences in worldview and psychological frameworks.,Apply each framework to explain behavioural examples.,Analyse points of convergence and divergence between the two psychologies.,Compare and contrast Australian Indigenous psychologies and mainstream psychological understandings,Develop an integrated psychological model combining culturally relevant aspects of both.
Recall key principles and examples of environmental law.,Describe differences between “hard” and “soft” environmental law.,Apply environmental law principles to case scenarios.,Analyse the effectiveness and limitations of hard vs soft law mechanisms.,Reflect on and assess major sources and principles of hard and soft international environmental law,Draft a policy proposal that integrates hard and soft law principles.
Recall major theories in educational and developmental psychology.,Explain key research methods in the field.,Apply appraisal checklists to sample studies.,"Analyse strengths, weaknesses, and biases in research designs.",Critically appraise research in educational and developmental psychology,Propose an improved research design addressing identified limitations.
Recall medical and legal concepts related to paediatric STIs.,Explain the implications of diagnosing an STI in a child.,Apply relevant protocols for medical/legal reporting.,"Analyse intersecting legal, ethical, and medical considerations.",Recognise and assess the medical and legal implications of a sexually transmitted infection in a child,Develop a multidisciplinary response protocol for paediatric STI cases.
Recall foundational theories of public policy and regulation.,Describe how different disciplines contribute to policy theory.,Apply policy theories to analyse real-world cases.,Compare and analyse strengths and limitations of policy theories.,"Critically evaluate the veracity of public policy and regulation theories using law, sociology, economics and political science",Construct an original policy analysis framework integrating multiple disciplines.
Recall basic concepts of mitigation and adaptation.,Explain main strategies for addressing climate change.,Apply mitigation/adaptation models to scenarios.,Analyse barriers and enablers to effective climate strategies.,Evaluate options for and obstacles to climate change mitigation and adaptation,Design a climate resilience plan for a sector or community.
Recall fundamental principles of medical negligence.,Explain conditions under which negligence claims arise.,"Apply legal tests (duty, breach, causation) to cases.",Analyse complex negligence claims and emerging legal issues.,Critically assess claims related to medical negligence and emerging medical law issues,Develop guidelines for managing new forms of medical liability.
Recall factors affecting infrastructure lifespan.,Explain how condition assessments relate to lifetime prediction.,Apply prediction models to sample infrastructure data.,Analyse the reliability and limitations of prediction techniques.,Predict the remaining life of an infrastructure system using condition assessments,Create an advanced prediction model for long-term infrastructure health.
Recall elements of a logical argument.,Explain what makes an argument valid or sound.,Apply argumentation techniques in writing and discussion.,"Analyse strengths, weaknesses, and fallacies in arguments.",Build critical arguments,"Construct a comprehensive, evidence-based argumentative essay."
Recall main SLA theories.,Explain major debates in SLA research.,Apply SLA theories to evaluate language-learning situations.,Analyse competing theoretical positions and research evidence.,Critically evaluate key theories and debates in second language acquisition,Develop a new conceptual model for understanding language acquisition.
Recognise major scholarly sources in Western art music.,Describe characteristics of credible research in musicology.,Apply scholarly criteria to assess sources.,"Analyse strengths, methodologies, and interpretations in the literature.",Evaluate and analyse scholarly sources in Western art music research,Produce an annotated research guide or literature review synthesising key sources.
Define the essential components of a comprehensive case study.,Explain the difference between a case study and a general research report.,Collect and organize raw data from a specific field scenario using a template.,Analyze the collected data to identify key themes and patterns.,Evaluate the validity of the data sources used for the report.,Develop a comprehensive case study and a comprehensive research report
List the standard operating procedures for laboratory documentation.,Explain the importance of recording raw data without alteration or erasure.,Record specific measurements and observations accurately during a guided experiment.,Differentiate between systematic and random errors in the recorded data.,"Critique a peer’s laboratory record for clarity, accuracy, and completeness.",Write a research-grade laboratory record of an experiment session
"Identify the key elements of a structured oral report (intro, body, conclusion).",Describe how tone and body language impact the delivery of a report.,Use visual aids effectively to support a specific point in a presentation.,Compare the effectiveness of two different presentation styles.,Assess the clarity and engagement level of a recorded oral report.,Present oral reports
List major databases and keywords relevant to the research topic.,Summarize the main findings of a single academic article.,Categorize a list of articles based on their research methodology.,Contrast the findings of two opposing studies on the same topic.,Critique the methodology and relevance of key literature sources.,"Understand, synthesise and summarise the existing literature"
Define personal values and professional ethics in social work.,Explain how unconscious bias can influence decision-making in practice.,"Apply a reflective framework (e.g., Gibbs) to a past interaction.",Analyze a situation where personal values conflicted with professional duties.,Evaluate the outcome of a decision made under the influence of personal bias.,Develop the ability to critically reflect on their own values and how this impacts on social work practice
"Define what constitutes an ""empirical inquiry.""",Explain the difference between normative (value-based) and empirical (fact-based) questions.,"Convert a general social problem into a specific, testable question.",Distinguish between policy questions that are measurable versus those that are not.,Assess the feasibility of collecting data to answer a proposed policy question.,Formulate and design policy questions amenable to empirical inquiry
List the MeSH terms (Medical Subject Headings) for a specific condition.,"Explain the function of Boolean operators (AND, OR, NOT) in database searching.",Execute a search using truncation and wildcards to find relevant articles.,Analyze why a specific search string yielded irrelevant results.,Evaluate the precision and recall of a search strategy compared to another.,Construct and implement effective strategies for searching the health literature
Identify the stakeholders and audience for the public art project.,Describe the site constraints and historical context of the location.,Sketch a preliminary visual concept that fits the physical space.,Analyze how different materials will withstand environmental conditions at the site.,Critique a design proposal based on budget feasibility and artistic merit.,"Communicate conceptual ideas, developments, and material resolutions of the proposed public art project"
List the materials used in flexible versus rigid pavements.,"Explain how environmental factors (temperature, moisture) affect pavement durability.",Calculate the required pavement thickness based on projected traffic loads.,Compare the lifecycle costs of flexible vs. rigid pavements for a specific highway.,Justify the selection of a pavement type for a specific area based on social impact.,"Design flexible and rigid road pavements giving consideration to economic, social and environmental factors"
List the principles of effective public speaking.,Explain how to tailor a message to a specific audience.,Draft an outline for a 5-minute presentation.,Analyze audience feedback to identify areas of confusion.,Evaluate the effectiveness of the Q&A session handling.,Communicate by oral presentation
List the developmental stages of early reading and writing.,Describe the relationship between oral language skills and literacy acquisition.,Demonstrate a specific teaching activity to support phonemic awareness.,Analyze assessment data to identify a child's specific learning gaps.,Evaluate the inclusivity of a reading resource for diverse learners.,"Explore effective ways to plan, teach, assess, reliably record and report learning experiences to develop young children's literacy"
List the standard sections of a psychological assessment report.,Explain the purpose of specific psychometric tests used in the assessment.,Score a standardized psychological test according to the manual.,Compare results from different sub-tests to look for consistency or discrepancies.,Interpret the validity of the results considering the client's behavior during testing.,Integrate and summarise information obtained during psychological assessments in the form of a professional report
Identify key indigenous cultural values relevant to leadership and governance.,Explain the challenges of balancing traditional identity with modern corporate structures.,Apply a SWOT analysis to an indigenous organization's current governance model.,Analyze the tension between financial accountability and cultural stewardship.,Evaluate the cultural appropriateness of a standard governance code for this community.,Develop creative solutions for governance and accountability reflecting indigenous identity...
"Define the essential components of a research protocol (e.g., hypothesis, method).",Describe the ethical considerations required for human subjects research.,Draft a timeline and budget for a proposed study.,Analyze potential risks and benefits for participants in the study.,Justify the choice of methodology (qualitative vs. quantitative) for the research question.,Design a research protocol
List the characteristics of formal writing vs. digital communication.,"Explain how the medium (e.g., email vs. report) changes the message structure.",Adapt a technical paragraph into a social media post for a lay audience.,Analyze how the choice of format impacts the audience's understanding.,Assess the clarity and effectiveness of a multimedia presentation.,"Communicate clearly in a range of formats, including written, oral and digital"
"Define ""EAL"" and the common challenges these learners face.",Explain the importance of culturally responsive pedagogy.,Adapt a standard text to make it linguistically accessible for an EAL student.,Analyze a textbook chapter to identify potential cultural or linguistic barriers.,Evaluate the effectiveness of an adapted resource in a trial lesson.,"Access, adapt and develop materials and teaching activities... for EAL learners"
Define the concept of Brownian motion in financial markets.,Explain the assumptions underlying the Black-Scholes model.,Apply Itô's Lemma to solve a basic stochastic differential equation.,Analyze the impact of changing volatility parameters on option pricing.,Evaluate the accuracy of a financial model by back-testing it against historical data.,Formulate expert solutions to practical financial problems using specialised cognitive and technical skills within the field of stochastic calculus
"List the classifications of burn depths (e.g., superficial, partial, full thickness).",Explain the physiological changes during the acute phase of a burn injury.,Calculate fluid resuscitation requirements using the Parkland formula.,Differentiate between the indications for topical treatment vs. surgical grafting.,Critically assess the nutritional plan proposed for a patient with severe metabolic demands.,"Integrate burn assessment, topical or surgical management options, pain control and nutritional support into a management plan..."
"Define the physical, emotional, and social components of holistic care.",Explain how social determinants of health impact patient recovery.,Conduct a patient interview to gather holistic health data.,Analyze the patient's history to identify connections between lifestyle and illness.,Evaluate the effectiveness of current interventions in meeting the patient's emotional needs.,Formulate holistic patient care plans appropriate to the professional practice level of the student
Define the absolute and relative poverty lines.,Explain the structural and individual causes of poverty.,Apply a specific economic theory to explain a local poverty trend.,Compare the effectiveness of two different government poverty alleviation programs.,"Argue for or against the implementation of a specific strategy (e.g., Universal Basic Income).",Identify strategies to address poverty
Identify environmental problems that can be solved with GIS.,Explain why GIS is a suitable tool for monitoring environmental changes.,Use GIS software to map the spread of a specific pollutant in a local area.,Analyze spatial data to correlate land use changes with water quality degradation.,Evaluate the accuracy of different GIS data sources for a specific project.,Design a comprehensive GIS-based model to predict future flood risks.
"Recognise trends, events, and figures that influenced jazz.","Describe how the ""Great Migration"" impacted the evolution of jazz styles.","Apply the characteristics of ""Bebop"" to identify the era of a mystery audio track.",Compare and contrast the musical structure of Swing vs. Cool Jazz.,Critique a modern jazz performance based on its historical authenticity.,Compose or rearrange a piece of music that integrates specific historical jazz elements.
Identify people eligible for family provision claims.,"Explain the legal criteria used to determine ""adequate provision"" in a will.",Apply the eligibility rules to a hypothetical case study to see who qualifies.,Differentiate between a strong and a weak claim based on financial need evidence.,Advise a client on their likelihood of success in a contested estate case.,Draft a legal affidavit supporting a client's family provision claim.
